纟	糹
荙	薘
荛	蕘
𬜬	蔄
荭	葒
䴓	鳾
䶮	龑
轵	軹
轷	軤
轹	轢
轺	軺
𪾢	睍
昽	曨
哒	噠
钘	鈃
𫓧	鈇
钜	鉅
𬬮	鋹
𬬱	釿
𬬭	錀
钪	鈧
钬	鈥
钭	鈄
俫	倈
舣	艤
鸧	鶬
飐	颭
饻	餏
浈	湞
浉	溮
浐	滻
袆	褘
绖	絰
骃	駰
𬘡	絪
𬳽	駪
𬘩	綎
𫄧	綖
骉	驫
𪟝	勣
𬍤	璕
𫭼	𡑍
𬜯	䓣
莶	薟
䓖	藭
桠	椏
𬂩	梜
𫠆	頍
硁	硜
𨐈	輄
辀	輈
辁	輇
赀	貲
唝	嗊
晔	曄
晖	暉
𫑡	鄳
帱	幬
𪨶	輋
崄	嶮
赆	贐
𬬸	鉥
钷	鉕
𬬻	鑪
𬬹	鉮
𬬿	鉊
𬭁	鉧
𫢸	僤
鸰	鴒
鱽	魛
𫗧	餗
𬊈	燖
涢	溳
𬒈	礐
窎	窵
袯	襏
𬳿	駼
𫄨	絺
绤	綌
骍	騂
𬘫	綄
琎	璡
𫮃	墠
壸	壼
聍	聹
萚	蘀
勚	勩
䓨	罃
梼	檮
梾	棶
厣	厴
鿎	䃮
硙	磑
硚	礄
䴕	鴷
龁	齕
𬱖	頔
𬟽	蝀
啴	嘽
铏	鉶
𫓯	銈
𫟹	鉷
铕	銪
𫟼	鐽
铖	鋮
铘	鋣
铚	銍
铞	銱
铥	銩
铴	鐋
鸺	鵂
鸼	鵃
䝙	貙
脶	腡
鱾	魢
庼	廎
䴔	鵁
阌	閿
𬇹	漍
𬍡	璗
𬤇	諲
𫍯	諴
裈	褌
𬤊	諟
𫍲	謏
谞	諝
𬯎	隤
婳	嫿
𬘬	綪
𬘭	綝
𬴂	騑
𫘦	騊
绹	綯
𫟅	綡
𬘯	綧
骕	驌
𫘧	騄
絷	縶
𪣻	塿
蒇	蕆
蒉	蕢
𬃊	櫍
鹀	鵐
𬷕	鵏
酦	醱
觌	覿
詟	讋
𫐐	輗
辌	輬
龂	齗
𬹼	齘
𫶇	嵽
嵚	嶔
翙	翽
𫖮	顗
赑	贔
赒	賙
鿏	䥑
铹	鐒
𬭊	𨧀
铽	鋱
𨱇	銶
𫓶	鋗
锊	鋝
锍	鋶
锎	鐦
𬭎	鋐
锓	鋟
颋	頲
筜	簹
𫖯	頫
腘	膕
𬱟	頠
鲃	䰾
𫛭	鵟
馉	餶
𫷷	廞
𬮱	闉
𬊤	燀
𣸣	濆
溁	濚
溇	漊
敩	斆
裣	襝
毵	毿
𬴃	騞
𫘨	騠
缊	縕
缐	線
骙	騤
䴖	鶄
赪	赬
蓣	蕷
榇	櫬
𬪩	醲
䃅	磾
辒	轀
𬨎	輶
𫐓	輮
龆	齠
鹍	鵾
𫫇	噁
赗	賵
锖	錆
𫓹	錤
锘	鍩
锳	鍈
锧	鑕
锪	鍃
𬭚	錞
锫	錇
锬	錟
𬭛	𨨏
䅟	穇
𬕂	篢
筼	篔
鹎	鵯
鲉	鮋
鲊	鮓
鲌	鮊
䲟	鮣
𬶋	鮈
𬶍	鮀
鲏	鮍
飔	颸
𦝼	膢
馌	饁
瘅	癉
鹒	鶊
阘	闒
𫔶	闑
滠	灄
𫌀	襀
谫	譾
鹔	鷫
𫖳	頵
𫘪	騵
𫘬	騱
缞	縗
𫞩	璊
瑷	璦
蔹	蘞
槚	檟
𣗋	欓
𬸘	鶠
酾	釃
𬒗	𥗽
𫚖	鮆
䴗	鶪
鹖	鶡
𨱏	鎝
锺	鍾
锼	鎪
锽	鍠
𬭤	鍭
锾	鍰
锿	鎄
镃	鎡
镄	鐨
镅	鎇
鹙	鶖
箨	籜
鲒	鮚
鲕	鮞
𫚕	鰤
鲖	鮦
鲗	鰂
鲘	鮜
鲙	鱠
𬶐	鮡
𬶏	鮠
𩽾	鮟
飗	飀
𬸚	鸑
瘗	瘞
鲝	鮺
潆	瀠
窭	窶
𬤝	譓
𬙂	縯
麹	麴
叇	靆
鹝	鷊
慭	憖
䗖	螮
镆	鏌
镈	鎛
镋	钂
镎	鎿
𬭩	鎓
镕	鎔
䴘	鷉
鹟	鶲
𩾃	鮸
鲦	鰷
鲪	鮶
鲬	鯒
鹠	鶹
鹡	鶺
鹢	鷁
鹣	鶼
澛	瀂
𬸣	鶱
𫍽	譞
𬴊	驎
𬞟	蘋
豮	豶
𫟦	䡵
𬺈	齮
𫠜	齯
鹾	鹺
𪩘	巘
𬭬	鏏
𨱑	鐄
𬭯	䥕
篯	籛
鲭	鯖
鲯	鯕
鲰	鯫
鲺	鯴
鲹	鰺
𫗴	饘
亸	嚲
𬸦	鷟
黉	黌
鹨	鷚
𫄷	繶
𤩽	瓛
蟏	蠨
㘎	㘚
𬭳	𨭎
镤	鏷
𬭶	𨭆
𫔍	鐇
镥	鑥
镨	鐠
𬭸	鏻
𨱔	鐏
𬭼	鐩
𫔎	鐍
𬸪	鷭
䲠	鰆
𬶟	鯻
鲾	鰏
𬶠	鰊
鲿	鱨
鳁	鰛
鳂	鰃
鳈	鰁
鳉	鱂
襕	襴
𬶨	鱀
𦈡	繻
𫄸	纁
鬶	鬹
𬟁	虉
鹲	鸏
黡	黶
镮	鐶
镱	鐿
酂	酇
䲢	鰧
鳑	鰟
鳒	鰜
鹱	鸌
鹯	鸇
冁	囅
䴙	鸊
𬙊	纆
鳘	鰵
𬶭	鰶
𩾌	鱇
鳚	䲁
鳛	鰼
彟	彠
颥	顬
𬶮	鱚
骦	驦
𬙋	纕
𬺓	齼
鳠	鱯
鳡	鱤
鳣	鱣
鹴	鸘
鳤	䲘
𫚭	鱲
㐷	傌
㐹	㑶
㐹	㐹
㐽	偑
㑈	倲
㑔	㑯
㑩	儸
㓆	𠗣
㓥	劏
㓰	劃
㔉	劚
㖊	噚
㖞	喎
㚯	㜄
㛀	媰
㛟	𡞵
㛠	𡢃
㛣	㜏
㛤	孋
㛿	𡠹
㟆	㠏
㟜	𡾱
㟥	嵾
㡎	幓
㤽	懤
㥪	慺
㧏	掆
㧰	擽
㨫	㩜
㭏	椲
㭣	𣙎
㭤	樢
㭴	樫
㱩	殰
㱮	殨
㲿	瀇
㳔	濧
㳕	灡
㳠	澾
㳡	濄
㳢	𣾷
㳽	瀰
㴋	潚
㶉	鸂
㶶	燶
㶽	煱
㺍	獱
㻅	璯
㻏	𤫩
㻘	𤪺
䀥	䁻
䂵	碽
䅉	稏
䅪	𥢢
䇲	筴
䉤	籔
䌶	䊷
䌷	紬
䌸	縳
䌺	䋙
䌻	䋚
䌼	綐
䌽	綵
䌾	䋻
䌿	䋹
䍀	繿
䍁	繸
䍠	䍦
䎬	䎱
䑽	𦪙
䓓	薵
䓕	薳
䘛	𧝞
䘞	𧜗
䙊	𧜵
䙌	䙡
䙓	襬
䜤	鿁
䜥	𧩙
䜧	䜀
䜩	讌
䞌	𧵳
䞍	䝼
䞎	𧶧
䞐	賰
䟢	躎
䢀	𨊰
䢁	𨊸
䢂	𨋢
䥺	釾
䥾	䥱
䥿	𨯅
䦀	𨦫
䦁	𨧜
䦂	䥇
䦅	鐥
䦆	钁
䦶	䦛
䦷	䦟
䩄	靦
䭪	𩞯
䯃	𩣑
䯄	騧
䯅	䯀
䲝	䱽
䲞	𩶘
䲡	鰌
䲣	䱷
伡	俥
侭	儘
傤	儎
刾	㓨
厐	龎
哜	嚌
唡	啢
啯	嘓
垅	壠
弪	弳
彨	彲
悮	悞
戯	戱
挜	掗
挢	撟
捝	挩
揾	搵
搄	揯
擜	㩵
敚	敓
桪	樳
椝	槼
椢	槶
椫	樿
椮	槮
榝	樧
毶	𣯶
泶	澩
涚	涗
渖	瀋
瑸	璸
痖	瘂
瞆	瞶
硵	磠
硷	礆
穞	穭
筿	篠
緼	縕
縆	緪
纟	糹
绬	緓
缋	繢
缍	綞
缏	緶
荝	萴
蒀	蒕
蒏	醟
蔂	虆
藴	蘊
蚃	蠁
螀	螿
觍	覥
讠	訁
讬	託
诪	譸
诶	誒
谉	讅
谘	諮
贠	貟
輼	轀
醖	醞
钅	釒
钑	鈒
钶	鈳
钸	鈽
铇	鉋
铓	鋩
铔	錏
铦	銛
锠	錩
镙	鏍
镟	鏇
闬	閈
阓	闠
阛	闤
陦	隯
霡	霢
靔	靝
颒	頮
颕	頴
颣	纇
飖	颻
飚	飈
饣	飠
饤	飣
饦	飥
饾	餖
馀	餘
馂	餕
馎	餺
骔	騌
鲄	魺
鲓	鮳
鲶	鯰
鳆	鰒
鳋	鰠
鸴	鷽
鹓	鵷
鹥	鷖
麺	麪
鼌	鼂
鿒	鿓
鿔	鎶
𠀾	𠁞
𠆲	儣
𠆿	𠌥
𠇹	俓
𠉂	㒓
𠉗	𠏢
𠋆	儭
𠚳	𠠎
𠛅	剾
𠛆	𠞆
𠛾	𪟖
𠡠	勑
𠮶	嗰
𠯟	哯
𠯠	噅
𠰱	㘉
𠰷	嚧
𠱞	囃
𠲥	𡅏
𠴛	𡃕
𠴢	𡄔
𠵸	𡄣
𠵾	㗲
𡋀	𡓾
𡋗	𡑭
𡋤	壗
𡍣	𡔖
𡒄	壈
𡝠	㜷
𡞋	㜗
𡞱	㜢
𡠟	孎
𡥧	孻
𡭜	𡮉
𡭬	𡮣
𡳃	𡳳
𡳒	𦘧
𡶴	嵼
𡸃	𡽗
𡺃	嶈
𡺄	嶘
𢋈	㢝
𢗓	㦛
𢘙	𢤱
𢘝	𢣚
𢘞	𢣭
𢙏	愻
𢙐	憹
𢙑	𢠼
𢙒	憢
𢙓	懀
𢛯	㦎
𢠁	懎
𢢐	𤢻
𢧐	戰
𢫊	𢷮
𢫞	𢶫
𢫬	摋
𢬍	擫
𢬦	𢹿
𢭏	擣
𢽾	斅
𣃁	斸
𣆐	曥
𣈣	𣋋
𣍨	𦢈
𣍯	腪
𣍰	脥
𣎑	臗
𣏢	槫
𣐕	桱
𣐤	欍
𣑶	𣠲
𣒌	楇
𣓿	橯
𣔌	樤
𣗊	樠
𣗙	㰙
𣘐	㯤
𣘓	𣞻
𣘴	檭
𣘷	𣝕
𣚚	欘
𣞎	𣠩
𣨼	殢
𣭤	𣯴
𣯣	𣯩
𣱝	氭
𣳆	㵗
𣶩	澅
𣶫	𣿉
𣶭	𪷓
𣷷	𤅶
𣺼	灙
𣺽	𤁣
𣽷	瀃
𤆡	熓
𤆢	㷍
𤇃	爄
𤇄	熌
𤇭	爖
𤇹	熚
𤈶	熉
𤈷	㷿
𤊀	𤒎
𤊰	𤓩
𤋏	熡
𤎺	𤓎
𤎻	𤑳
𤙯	𤛮
𤝢	𤢟
𤞃	獩
𤞤	玁
𤠋	㺏
𤦀	瓕
𤳄	𤳸
𤶊	癐
𤶧	𤸫
𤻊	㿗
𤽯	㿧
𤾀	皟
𤿲	麬
𥁢	䀉
𥅘	𥌃
𥅴	䀹
𥅿	𥊝
𥆧	瞤
𥇢	䁪
𥎝	䂎
𥐟	礒
𥐯	𥖅
𥐰	𥕥
𥐻	碙
𥞦	𥞵
𥧂	𥨐
𥩟	竚
𥩺	𥪂
𥫣	籅
𥬀	䉙
𥬞	籋
𥬠	篘
𥭉	𥵊
𥮋	𥸠
𥮜	䉲
𥮾	篸
𥱔	𥵃
𥹥	𥼽
𥺅	䊭
𥺇	𥽖
𦈈	𥿊
𦈉	緷
𦈋	綇
𦈌	綀
𦈎	繟
𦈏	緍
𦈐	縺
𦈑	緸
𦈒	𦂅
𦈓	䋿
𦈔	縎
𦈕	緰
𦈖	䌈
𦈗	𦃄
𦈘	䌋
𦈙	䌰
𦈚	縬
𦈛	繓
𦈜	䌖
𦈝	繏
𦈞	䌟
𦈟	䌝
𦈠	䌥
𦍠	䍽
𦛨	朥
𦟗	𦣎
𦨩	𦪽
𦰏	蓧
𦰴	䕳
𦶟	爇
𦶻	𦾟
𦻕	蘟
𧉐	𧕟
𧉞	䗿
𧌥	𧎈
𧏖	蠙
𧏗	蠀
𧑏	蠾
𧒭	𧔥
𧜭	䙱
𧝝	襰
𧝧	𧟀
𧮪	詀
𧳕	𧳟
𧹑	䞈
𧹒	買
𧹓	𧶔
𧹔	賬
𧹕	䝻
𧹖	賟
𧹗	贃
𧿈	𨇁
𨀁	躘
𨀱	𨄣
𨁴	𨅍
𨂺	𨈊
𨄄	𨈌
𨅛	䠱
𨅫	𨇞
𨅬	躝
𨉗	軉
𨐅	軗
𨐆	𨊻
𨐇	𨏠
𨐉	𨎮
𨐊	𨏥
𨑹	䢨
𨟳	𨣞
𨠨	𨣧
𨡙	𨢿
𨡺	𨣈
𨤰	𨤻
𨰾	鎷
𨰿	釳
𨱀	𨥛
𨱁	鈠
𨱂	鈋
𨱃	鈲
𨱄	鈯
𨱅	鉁
𨱆	龯
𨱈	鋉
𨱉	鍄
𨱊	𨧱
𨱋	錂
𨱌	鏆
𨱍	鎯
𨱎	鍮
𨱐	𨫒
𨱒	鏉
𨱓	鐎
𨱕	𨮂
𨱖	䥩
𨷿	䦳
𨸀	𨳕
𨸁	𨳑
𨸂	閍
𨸃	閐
𨸄	䦘
𨸅	𨴗
𨸆	𨵩
𨸇	𨵸
𨸉	𨶀
𨸊	𨶏
𨸋	𨶲
𨸌	𨶮
𨸎	𨷲
𨸘	𨽏
𨸟	䧢
𩏼	䪏
𩏽	𩏪
𩏾	𩎢
𩏿	䪘
𩐀	䪗
𩓋	顂
𩖕	𩓣
𩖖	顃
𩖗	䫴
𩙥	颰
𩙦	𩗀
𩙧	䬞
𩙨	𩘹
𩙩	𩘀
𩙪	颷
𩙫	颾
𩙬	𩘺
𩙭	𩘝
𩙮	䬘
𩙯	䬝
𩙰	𩙈
𩟿	𩚛
𩠀	𩚥
𩠁	𩚵
𩠂	𩛆
𩠃	𩛩
𩠅	𩟐
𩠆	𩜦
𩠇	䭀
𩠈	䭃
𩠉	𩜇
𩠊	𩜵
𩠋	𩝔
𩠌	餸
𩠎	𩞄
𩠏	𩞦
𩠠	𩠴
𩡖	𩡣
𩧦	𩡺
𩧨	駎
𩧩	𩤊
𩧪	䮾
𩧫	駚
𩧬	𩢡
𩧭	䭿
𩧮	𩢾
𩧯	驋
𩧰	䮝
𩧱	𩥉
𩧲	駧
𩧳	𩢸
𩧴	駩
𩧵	𩢴
𩧶	𩣏
𩧸	𩣫
𩧺	駶
𩧻	𩣵
𩧼	𩣺
𩧿	䮠
𩨀	騔
𩨁	䮞
𩨂	驄
𩨃	騝
𩨄	騪
𩨅	𩤸
𩨆	𩤙
𩨇	䮫
𩨈	騟
𩨉	𩤲
𩨊	騚
𩨋	𩥄
𩨌	𩥑
𩨍	𩥇
𩨎	龭
𩨏	䮳
𩨐	𩧆
𩩈	䯤
𩬣	𩭙
𩬤	𩰀
𩭹	鬖
𩯒	𩯳
𩰰	𩰹
𩲒	𩳤
𩴌	𩴵
𩽹	魥
𩽺	𩵩
𩽻	𩵹
𩽼	鯶
𩽽	𩶱
𩽿	𩶰
𩾁	鯄
𩾂	䲖
𩾄	𩷰
𩾅	𩸃
𩾆	𩸦
𩾇	鯱
𩾈	䱙
𩾊	䱬
𩾋	䱰
𩾎	𩽇
𪉂	䲰
𪉃	鳼
𪉄	𩿪
𪉅	𪀦
𪉆	鴲
𪉈	鴜
𪉉	𪁈
𪉊	鷨
𪉋	𪀾
𪉌	𪁖
𪉍	鵚
𪉎	𪂆
𪉏	𪃏
𪉐	𪃍
𪉑	鷔
𪉒	𪄕
𪉔	𪄆
𪉕	𪇳
𪎈	䴬
𪎉	麲
𪎊	麨
𪎋	䴴
𪎌	麳
𪑅	䵳
𪔭	𪔵
𪚏	𪘀
𪚐	𪘯
𪜎	𠿕
𪞝	凙
𪟎	㔋
𪠀	𧷎
𪠟	㓄
𪠡	𠬙
𪠳	唓
𪠵	㖮
𪠸	嚛
𪠺	𠽃
𪠽	噹
𪡀	嘺
𪡃	嘪
𪡋	噞
𪡏	嗹
𪡛	㗿
𪡞	嘳
𪡺	𡃄
𪢌	㘓
𪢐	𡃤
𪢒	𡂡
𪢕	嚽
𪢖	𡅯
𪢠	囒
𪢮	圞
𪢸	墲
𪣆	埬
𪣒	堚
𪤄	𡓁
𪤚	壣
𪥠	𧹈
𪥫	孇
𪥰	嬣
𪥿	嬻
𪧀	孾
𪧘	寠
𪨊	㞞
𪨗	屩
𪨧	崙
𪨩	𡸗
𪨷	巗
𪨹	𡹬
𪩇	㟺
𪩎	巊
𪩛	𡿖
𪩷	幝
𪩸	幩
𪪏	廬
𪪑	㢗
𪪞	廧
𪪴	𢍰
𪪼	彃
𪫌	徿
𪫡	𢤩
𪫷	㦞
𪫺	憸
𪬚	𢣐
𪬯	𢤿
𪭝	𢯷
𪭢	摐
𪭧	擟
𪭯	𢶒
𪭵	掚
𪭾	撊
𪮃	㨻
𪮋	㩋
𪮖	撧
𪮳	𢺳
𪮶	攋
𪯋	㪎
𪰶	曊
𪱥	膹
𪱷	梖
𪲎	櫅
𪲔	欐
𪲛	檵
𪲮	櫠
𪳍	欇
𪳗	𣜬
𪴙	欑
𪵑	毊
𪵣	霼
𪵱	濿
𪶄	溡
𪶒	𤄷
𪶮	𣽏
𪷍	㵾
𪷽	灒
𪸕	熂
𪸩	煇
𪹀	𤑹
𪹠	𤓌
𪹳	爥
𪹹	𤒻
𪺣	𤘀
𪺪	𤜆
𪺭	犞
𪺷	獊
𪺸	𤠮
𪺻	㺜
𪺽	猌
𪻐	瑽
𪻨	瓄
𪻲	瑻
𪻺	璝
𪼋	㻶
𪼴	𤬅
𪽈	畼
𪽝	𤳷
𪽪	痮
𪽭	𤷃
𪽮	㿖
𪽴	𤺔
𪽷	瘱
𪾔	盨
𪾣	眝
𪾦	矑
𪾸	矉
𪿊	𥏝
𪿞	𥖲
𪿫	礮
𪿵	𥗇
𫀌	𥜰
𫀓	𥜐
𫀨	䅐
𫀬	䅳
𫀮	𥢷
𫁂	䆉
𫁟	竱
𫁡	鴗
𫁱	𥶽
𫁲	䉑
𫁳	𥯤
𫁷	䉶
𫁺	𥴼
𫂃	簢
𫂆	簂
𫂈	䉬
𫂖	𥴨
𫂿	𥻦
𫃗	𩏷
𫄙	糺
𫄚	䊺
𫄛	紟
𫄜	䋃
𫄝	𥾯
𫄞	䋔
𫄟	絁
𫄠	絙
𫄡	絧
𫄢	絥
𫄣	繷
𫄤	繨
𫄥	纚
𫄦	𦀖
𫄩	䋦
𫄪	𦅇
𫄫	綟
𫄬	緤
𫄭	緮
𫄮	䋼
𫄯	𦃩
𫄰	縍
𫄱	繬
𫄲	縸
𫄳	縰
𫄴	繂
𫄵	𦅈
𫄶	繈
𫄹	纗
𫅅	䍤
𫅗	羵
𫅥	𦒀
𫅭	䎙
𫅼	𦔖
𫆏	聻
𫆝	𦟼
𫆫	𦡝
𫇘	𦧺
𫇛	艣
𫇪	𦱌
𫇴	蒭
𫇽	蕽
𫈉	蕳
𫈎	葝
𫈟	蔯
𫈵	蕝
𫉁	薆
𫉄	藷
𫊪	䗅
𫊮	蠦
𫊸	蟜
𫊹	𧒯
𫊻	蟳
𫋇	蟂
𫋌	蟘
𫋲	䙔
𫋷	襗
𫋹	襓
𫋻	襘
𫌇	襵
𫌋	𧞫
𫌨	覼
𫌪	覛
𫌫	𧡴
𫌬	𧢄
𫌭	覹
𫌯	䚩
𫍐	𧭹
𫍙	訑
𫍚	訞
𫍛	訜
𫍜	詓
𫍝	諫
𫍞	𧦝
𫍟	𧦧
𫍠	䛄
𫍡	詑
𫍢	譊
𫍤	譑
𫍥	誂
𫍦	譨
𫍧	誺
𫍨	誫
𫍩	諣
𫍪	誋
𫍫	䛳
𫍬	誷
𫍭	𧩕
𫍮	誳
𫍰	諰
𫍱	諯
𫍳	諥
𫍴	謱
𫍵	謸
𫍶	𧩼
𫍷	謉
𫍸	謆
𫍹	謯
𫍺	𧫝
𫍻	譆
𫍼	𧬤
𫍾	𧭈
𫍿	譾
𫎆	豵
𫎌	貗
𫎦	贚
𫎧	䝭
𫎨	𧸘
𫎩	賝
𫎪	䞋
𫎫	贉
𫎬	贑
𫎭	䞓
𫎱	䟐
𫎳	䟆
𫎸	𧽯
𫎺	䟃
𫏃	䠆
𫏆	蹳
𫏋	蹻
𫏌	𨂐
𫏐	蹔
𫏑	𨇽
𫏕	𨆪
𫏞	𨇰
𫏨	𨇤
𫐅	軕
𫐆	轣
𫐇	軜
𫐈	軷
𫐉	軨
𫐊	軬
𫐋	𨎌
𫐌	軿
𫐍	𨌈
𫐎	輢
𫐏	輖
𫐑	輨
𫐒	輷
𫐔	𨍰
𫐕	轊
𫐖	轇
𫐗	轐
𫐘	轗
𫐙	轠
𫐷	遱
𫑘	鄟
𫑷	醶
𫓥	釟
𫓦	釨
𫓨	鈛
𫓩	鏦
𫓪	鈆
𫓫	𨥟
𫓬	鉔
𫓭	鉠
𫓮	𨪕
𫓰	銊
𫓱	鐈
𫓲	銁
𫓳	𨰋
𫓴	鉾
𫓵	鋠
𫓷	𫒡
𫓸	錽
𫓺	鐪
𫓻	錜
𫓼	𨨛
𫓽	錝
𫓾	錥
𫓿	𨨢
𫔀	鍊
𫔁	鐼
𫔂	鍉
𫔃	𨰲
𫔄	鍒
𫔅	鎍
𫔆	䥯
𫔇	鎞
𫔈	鎙
𫔉	𨰃
𫔊	鏥
𫔋	䥗
𫔌	鏾
𫔏	𨬖
𫔐	𨭸
𫔑	𨭖
𫔒	𨮳
𫔓	𨯟
𫔔	鑴
𫔕	𨰥
𫔖	𨲳
𫔭	開
𫔮	閒
𫔯	閗
𫔰	閞
𫔲	𨴹
𫔴	閵
𫔵	䦯
𫔽	𨼳
𫕚	𩀨
𫕥	霣
𫕨	𩅙
𫖃	靧
𫖅	䪊
𫖇	鞾
𫖑	𩎖
𫖒	韠
𫖓	𩏂
𫖔	韛
𫖕	韝
𫖖	𩏠
𫖪	𩑔
𫖫	䪴
𫖬	䪾
𫖭	𩒎
𫖰	䫂
𫖱	䫀
𫖲	䫟
𫖴	𩔳
𫖵	𩓥
𫖶	顅
𫖷	𩔑
𫖸	願
𫖹	顣
𫖺	䫶
𫗇	䫻
𫗈	𩗓
𫗉	𩗴
𫗊	䬓
𫗋	飋
𫗚	𩟗
𫗞	飦
𫗟	䬧
𫗠	餦
𫗡	𩚩
𫗢	飵
𫗣	飶
𫗤	𩛌
𫗥	餫
𫗦	餔
𫗨	𩛡
𫗩	饠
𫗪	餧
𫗫	餬
𫗬	餪
𫗭	餵
𫗮	餭
𫗯	餱
𫗰	䭔
𫗱	䭑
𫗳	𩝽
𫗵	饟
𫘛	馯
𫘞	駞
𫘟	駊
𫘠	駤
𫘡	駫
𫘣	駻
𫘤	騃
𫘥	騉
𫘩	騜
𫘫	騴
𫘭	騻
𫘮	䮰
𫘯	驓
𫘰	驙
𫘱	驨
𫘽	鬠
𫙂	𩯁
𫚈	鱮
𫚉	魟
𫚊	鰑
𫚋	鱄
𫚌	魦
𫚍	魵
𫚎	𩶁
𫚏	䱁
𫚐	䱀
𫚑	鮅
𫚒	鮄
𫚓	鮤
𫚔	鮰
𫚗	鮯
𫚘	𩻮
𫚙	鯆
𫚚	鮿
𫚛	鮵
𫚜	䲅
𫚝	𩸄
𫚞	鯬
𫚟	𩸡
𫚠	䱧
𫚡	鯞
𫚢	鰋
𫚣	鯾
𫚤	鰦
𫚥	鰕
𫚦	鰫
𫚧	鰽
𫚨	𩻗
𫚩	𩻬
𫚪	鱊
𫚫	鱢
𫚬	𩼶
𫛚	鳽
𫛛	鳷
𫛜	鴀
𫛝	鴅
𫛞	鴃
𫛟	鸗
𫛠	𩿤
𫛡	鴔
𫛢	鸋
𫛣	鴥
𫛤	鴐
𫛥	鵊
𫛦	鴮
𫛧	𪀖
𫛨	鵧
𫛩	鴳
𫛪	鴽
𫛫	鶰
𫛬	䳜
𫛮	䳤
𫛯	鶭
𫛰	䳢
𫛱	鵫
𫛲	鵰
𫛳	鵩
𫛴	鷤
𫛵	鶌
𫛶	鶒
𫛷	鶦
𫛸	鶗
𫛹	𪃧
𫛺	䳧
𫛻	𪃒
𫛼	䳫
𫛽	鷅
𫛾	𪆷
𫜀	鷐
𫜁	鷩
𫜂	𪅂
𫜃	鷣
𫜄	鷷
𫜅	䴋
𫜊	𪉸
𫜑	麷
𫜒	䴱
𫜓	𪌭
𫜔	䴽
𫜕	𪍠
𫜙	䵴
𫜟	𪓰
𫜨	䶕
𫜩	齧
𫜪	齩
𫜫	𫜦
𫜬	齰
𫜭	齭
𫜮	齴
𫜯	𪙏
𫜰	齾
𫜲	龓
𫜳	䶲
𫝈	㑮
𫝋	𠐊
𫝦	㛝
𫝧	㜐
𫝨	媈
𫝩	嬦
𫝪	𡟫
𫝫	婡
𫝬	嬇
𫝭	孆
𫝮	孄
𫝵	嶹
𫞅	𦠅
𫞗	潣
𫞚	澬
𫞛	㶆
𫞝	灍
𫞠	爧
𫞡	爃
𫞢	𤛱
𫞣	㹽
𫞥	珼
𫞦	璾
𫞧	𤩂
𫞨	璼
𫞷	𥢶
𫟃	絍
𫟄	綋
𫟆	緟
𫟇	𦆲
𫟑	䖅
𫟕	䕤
𫟞	訨
𫟟	詊
𫟠	譂
𫟡	誴
𫟢	䜖
𫟤	䡐
𫟥	䡩
𫟫	𨞺
𫟬	𨟊
𫟲	釚
𫟳	釲
𫟴	鈖
𫟵	鈗
𫟶	銏
𫟷	鉝
𫟸	鉽
𫟺	䤤
𫟻	銂
𫟽	𨧰
𫟾	𨩰
𫟿	鎈
𫠀	䥄
𫠁	鑉
𫠂	閝
𫠅	韚
𫠇	𩖰
𫠈	䫾
𫠋	騼
𫠌	𩦠
𫠏	𩵦
𫠐	魽
𫠑	䱸
𫠒	鱆
𫠖	𩿅
𫧃	𣍐
𫧮	𪋿
𫬐	㘔
𬭭	鏚
𬸯	鷿
𰬸	繐
𰰨	菕
𰶎	譅
𰾄	鋂
𰾭	鑀
𱊜	𪈼
内	內
匀	勻
户	戶
册	冊
吕	呂
丢	丟
争	爭
决	決
抛	拋
吴	吳
呐	吶
秃	禿
囱	囪
删	刪
况	況
弃	棄
兑	兌
没	沒
灾	災
卧	臥
咏	詠
秆	稈
侣	侶
刹	剎
肴	餚
净	淨
泪	淚
屉	屜
届	屆
叁	叄
挣	掙
荆	荊
栅	柵
叙	敘
脉	脈
狰	猙
兹	茲
宫	宮
换	換
耻	恥
晋	晉
栖	棲
唤	喚
笋	筍
凉	涼
烟	煙
涣	渙
悦	悅
剥	剝
娱	娛
黄	黃
厢	廂
虚	虛
睁	睜
脚	腳
脱	脫
够	夠
猪	豬
猫	貓
凑	湊
减	減
盗	盜
焕	煥
窑	窯
厨	廚
厦	廈
税	稅
筝	箏
粤	粵
奥	奧
猬	蝟
痪	瘓
羡	羨
温	溫
游	游
游	遊
雇	僱
强	強
携	攜
摇	搖
蜕	蛻
遥	遙
禀	稟
痴	癡
韵	韻
滚	滾
叠	疊
静	靜
碱	鹼
撑	撐
横	橫
踪	蹤
凛	凜
潜	潛
橱	櫥
虬	虯
殁	歿
牦	犛
瓮	甕
兖	兗
炖	燉
姗	姍
虱	蝨
珐	琺
栀	梔
峥	崢
俣	俁
彦	彥
籼	秈
姹	奼
莅	蒞
隽	雋
疴	痾
衮	袞
棁	梲
厩	廄
眦	眥
偬	傯
渌	淥
椁	槨
弑	弒
愠	慍
幂	冪
媪	媼
氲	氳
腼	靦
腭	齶
瑶	瑤
戬	戩
厮	廝
嘘	噓
麽	麼
潴	瀦
廪	廩
檩	檁
嬷	嬤
鞲	韝
蹰	躕
蘖	櫱
鼹	鼴
芈	羋
卺	巹
垴	堖
陧	隉
稆	穭
榅	榲
暅	𣈶
腽	膃
煴	熅
蕰	薀
橥	櫫
糇	餱
懔	懍
𰻝	𰻞
